"","doc_id","Sovereignty","Human_Rights"
"1","Session 25 - 1970.json.1",1,3
"2","Session 25 - 1970.json.2",1,1
"3","Session 25 - 1970.json.3",0,0
"4","Session 25 - 1970.json.4",1,0
"5","Session 25 - 1970.json.5",0,0
"6","Session 25 - 1970.json.6",1,2
"7","Session 25 - 1970.json.7",0,1
"8","Session 25 - 1970.json.8",1,9
"9","Session 25 - 1970.json.9",0,1
"10","Session 25 - 1970.json.10",3,0
"11","Session 25 - 1970.json.11",2,1
"12","Session 25 - 1970.json.12",4,0
"13","Session 25 - 1970.json.13",1,10
"14","Session 25 - 1970.json.14",1,3
"15","Session 25 - 1970.json.15",2,4
"16","Session 25 - 1970.json.16",1,0
"17","Session 25 - 1970.json.17",0,1
"18","Session 25 - 1970.json.18",1,0
"19","Session 25 - 1970.json.19",12,1
"20","Session 25 - 1970.json.20",3,1
"21","Session 25 - 1970.json.21",1,2
"22","Session 25 - 1970.json.22",4,0
"23","Session 25 - 1970.json.23",2,1
"24","Session 25 - 1970.json.24",2,8
"25","Session 25 - 1970.json.25",3,0
"26","Session 25 - 1970.json.26",0,5
"27","Session 25 - 1970.json.27",0,0
"28","Session 25 - 1970.json.28",3,0
"29","Session 25 - 1970.json.29",3,5
"30","Session 25 - 1970.json.30",0,1
"31","Session 25 - 1970.json.31",2,4
"32","Session 25 - 1970.json.32",0,2
"33","Session 25 - 1970.json.33",0,0
"34","Session 25 - 1970.json.34",4,0
"35","Session 25 - 1970.json.35",0,0
"36","Session 25 - 1970.json.36",0,1
"37","Session 25 - 1970.json.37",1,0
"38","Session 25 - 1970.json.38",1,0
"39","Session 25 - 1970.json.39",3,4
"40","Session 25 - 1970.json.40",0,9
"41","Session 25 - 1970.json.41",1,1
"42","Session 25 - 1970.json.42",1,0
"43","Session 25 - 1970.json.43",1,11
"44","Session 25 - 1970.json.44",5,0
"45","Session 25 - 1970.json.45",0,2
"46","Session 25 - 1970.json.46",0,0
"47","Session 25 - 1970.json.47",5,0
"48","Session 25 - 1970.json.48",0,4
"49","Session 25 - 1970.json.49",0,4
"50","Session 25 - 1970.json.50",0,6
"51","Session 25 - 1970.json.51",1,1
"52","Session 25 - 1970.json.52",3,2
"53","Session 25 - 1970.json.53",5,4
"54","Session 25 - 1970.json.54",9,0
"55","Session 25 - 1970.json.55",13,1
"56","Session 25 - 1970.json.56",3,0
"57","Session 25 - 1970.json.57",2,0
"58","Session 25 - 1970.json.58",0,3
"59","Session 25 - 1970.json.59",0,1
"60","Session 25 - 1970.json.60",1,1
"61","Session 25 - 1970.json.61",7,4
"62","Session 25 - 1970.json.62",2,2
"63","Session 25 - 1970.json.63",0,0
"64","Session 25 - 1970.json.64",0,1
"65","Session 25 - 1970.json.65",1,8
"66","Session 25 - 1970.json.66",0,1
"67","Session 25 - 1970.json.67",4,0
"68","Session 25 - 1970.json.68",0,4
"69","Session 25 - 1970.json.69",1,1
"70","Session 25 - 1970.json.70",0,0
"71","Session 26 - 1971.json.1",1,0
"72","Session 26 - 1971.json.2",1,1
"73","Session 26 - 1971.json.3",0,0
"74","Session 26 - 1971.json.4",0,0
"75","Session 26 - 1971.json.5",5,0
"76","Session 26 - 1971.json.6",2,1
"77","Session 26 - 1971.json.7",0,0
"78","Session 26 - 1971.json.8",1,0
"79","Session 26 - 1971.json.9",5,0
"80","Session 26 - 1971.json.10",4,0
"81","Session 26 - 1971.json.11",2,0
"82","Session 26 - 1971.json.12",0,2
"83","Session 26 - 1971.json.13",4,2
"84","Session 26 - 1971.json.14",0,0
"85","Session 26 - 1971.json.15",4,0
"86","Session 26 - 1971.json.16",0,0
"87","Session 26 - 1971.json.17",0,0
"88","Session 26 - 1971.json.18",4,0
"89","Session 26 - 1971.json.19",0,1
"90","Session 26 - 1971.json.20",2,0
"91","Session 26 - 1971.json.21",0,6
"92","Session 26 - 1971.json.22",0,2
"93","Session 26 - 1971.json.23",0,0
"94","Session 26 - 1971.json.24",1,1
"95","Session 26 - 1971.json.25",1,0
"96","Session 26 - 1971.json.26",2,0
"97","Session 26 - 1971.json.27",3,0
"98","Session 26 - 1971.json.28",1,0
"99","Session 26 - 1971.json.29",0,0
"100","Session 26 - 1971.json.30",1,0
"101","Session 26 - 1971.json.31",1,0
"102","Session 26 - 1971.json.32",0,0
"103","Session 26 - 1971.json.33",0,1
"104","Session 26 - 1971.json.34",0,0
"105","Session 26 - 1971.json.35",0,8
"106","Session 26 - 1971.json.36",0,1
"107","Session 26 - 1971.json.37",2,2
"108","Session 26 - 1971.json.38",0,1
"109","Session 26 - 1971.json.39",0,10
"110","Session 26 - 1971.json.40",1,1
"111","Session 26 - 1971.json.41",0,0
"112","Session 26 - 1971.json.42",1,0
"113","Session 26 - 1971.json.43",0,0
"114","Session 26 - 1971.json.44",3,0
"115","Session 26 - 1971.json.45",0,1
"116","Session 26 - 1971.json.46",10,0
"117","Session 26 - 1971.json.47",2,1
"118","Session 26 - 1971.json.48",4,4
"119","Session 26 - 1971.json.49",12,1
"120","Session 26 - 1971.json.50",1,1
"121","Session 26 - 1971.json.51",0,0
"122","Session 26 - 1971.json.52",0,0
"123","Session 26 - 1971.json.53",0,0
"124","Session 26 - 1971.json.54",1,0
"125","Session 26 - 1971.json.55",3,0
"126","Session 26 - 1971.json.56",1,0
"127","Session 26 - 1971.json.57",1,1
"128","Session 26 - 1971.json.58",1,1
"129","Session 26 - 1971.json.59",8,1
"130","Session 26 - 1971.json.60",4,1
"131","Session 26 - 1971.json.61",5,0
"132","Session 26 - 1971.json.62",3,2
"133","Session 26 - 1971.json.63",4,0
"134","Session 26 - 1971.json.64",3,0
"135","Session 26 - 1971.json.65",0,0
"136","Session 26 - 1971.json.66",3,2
"137","Session 26 - 1971.json.67",7,0
"138","Session 26 - 1971.json.68",0,1
"139","Session 26 - 1971.json.69",1,2
"140","Session 26 - 1971.json.70",2,1
"141","Session 26 - 1971.json.71",1,1
"142","Session 26 - 1971.json.72",0,1
"143","Session 26 - 1971.json.73",0,1
"144","Session 26 - 1971.json.74",2,0
"145","Session 26 - 1971.json.75",0,0
"146","Session 26 - 1971.json.76",0,0
"147","Session 26 - 1971.json.77",2,1
"148","Session 26 - 1971.json.78",2,0
"149","Session 26 - 1971.json.79",1,0
"150","Session 26 - 1971.json.80",1,0
"151","Session 26 - 1971.json.81",2,2
"152","Session 26 - 1971.json.82",2,3
"153","Session 26 - 1971.json.83",0,0
"154","Session 26 - 1971.json.84",3,0
"155","Session 26 - 1971.json.85",1,1
"156","Session 26 - 1971.json.86",0,3
"157","Session 26 - 1971.json.87",1,0
"158","Session 26 - 1971.json.88",0,0
"159","Session 26 - 1971.json.89",4,0
"160","Session 26 - 1971.json.90",0,0
"161","Session 26 - 1971.json.91",0,0
"162","Session 26 - 1971.json.92",4,3
"163","Session 26 - 1971.json.93",3,3
"164","Session 26 - 1971.json.94",1,1
"165","Session 26 - 1971.json.95",0,7
"166","Session 26 - 1971.json.96",4,1
"167","Session 26 - 1971.json.97",0,5
"168","Session 26 - 1971.json.98",0,0
"169","Session 26 - 1971.json.99",0,5
"170","Session 26 - 1971.json.100",4,0
"171","Session 26 - 1971.json.101",0,0
"172","Session 26 - 1971.json.102",0,3
"173","Session 26 - 1971.json.103",1,0
"174","Session 26 - 1971.json.104",5,1
"175","Session 26 - 1971.json.105",0,0
"176","Session 26 - 1971.json.106",2,1
"177","Session 26 - 1971.json.107",1,5
"178","Session 26 - 1971.json.108",3,0
"179","Session 26 - 1971.json.109",5,0
"180","Session 26 - 1971.json.110",2,0
"181","Session 26 - 1971.json.111",1,2
"182","Session 26 - 1971.json.112",0,1
"183","Session 26 - 1971.json.113",2,0
"184","Session 26 - 1971.json.114",3,6
"185","Session 26 - 1971.json.115",0,0
"186","Session 26 - 1971.json.116",2,1
"187","Session 27 - 1972.json.1",0,0
"188","Session 27 - 1972.json.2",2,8
"189","Session 27 - 1972.json.3",2,0
"190","Session 27 - 1972.json.4",3,0
"191","Session 27 - 1972.json.5",3,1
"192","Session 27 - 1972.json.6",0,0
"193","Session 27 - 1972.json.7",6,0
"194","Session 27 - 1972.json.8",0,1
"195","Session 27 - 1972.json.9",3,3
"196","Session 27 - 1972.json.10",0,0
"197","Session 27 - 1972.json.11",5,0
"198","Session 27 - 1972.json.12",0,2
"199","Session 27 - 1972.json.13",0,0
"200","Session 27 - 1972.json.14",0,0
"201","Session 27 - 1972.json.15",2,1
"202","Session 27 - 1972.json.16",9,0
"203","Session 27 - 1972.json.17",0,1
"204","Session 27 - 1972.json.18",0,1
"205","Session 27 - 1972.json.19",0,0
"206","Session 27 - 1972.json.20",0,2
"207","Session 27 - 1972.json.21",6,0
"208","Session 27 - 1972.json.22",0,0
"209","Session 27 - 1972.json.23",3,0
"210","Session 27 - 1972.json.24",4,0
"211","Session 27 - 1972.json.25",0,2
"212","Session 27 - 1972.json.26",0,6
"213","Session 27 - 1972.json.27",1,2
"214","Session 27 - 1972.json.28",2,0
"215","Session 27 - 1972.json.29",3,2
"216","Session 27 - 1972.json.30",2,1
"217","Session 27 - 1972.json.31",2,0
"218","Session 27 - 1972.json.32",1,2
"219","Session 27 - 1972.json.33",0,1
"220","Session 27 - 1972.json.34",1,0
"221","Session 27 - 1972.json.35",1,1
"222","Session 27 - 1972.json.36",1,2
"223","Session 27 - 1972.json.37",1,1
"224","Session 27 - 1972.json.38",1,0
"225","Session 27 - 1972.json.39",5,1
"226","Session 27 - 1972.json.40",3,1
"227","Session 27 - 1972.json.41",0,2
"228","Session 27 - 1972.json.42",0,0
"229","Session 27 - 1972.json.43",0,1
"230","Session 27 - 1972.json.44",0,4
"231","Session 27 - 1972.json.45",4,1
"232","Session 27 - 1972.json.46",0,4
"233","Session 27 - 1972.json.47",0,1
"234","Session 27 - 1972.json.48",0,0
"235","Session 27 - 1972.json.49",0,0
"236","Session 27 - 1972.json.50",3,1
"237","Session 27 - 1972.json.51",0,0
"238","Session 27 - 1972.json.52",10,0
"239","Session 27 - 1972.json.53",5,1
"240","Session 27 - 1972.json.54",4,0
"241","Session 27 - 1972.json.55",0,0
"242","Session 27 - 1972.json.56",1,0
"243","Session 27 - 1972.json.57",2,2
"244","Session 27 - 1972.json.58",4,2
"245","Session 27 - 1972.json.59",1,2
"246","Session 27 - 1972.json.60",0,0
"247","Session 27 - 1972.json.61",0,0
"248","Session 27 - 1972.json.62",0,0
"249","Session 27 - 1972.json.63",3,3
"250","Session 27 - 1972.json.64",1,0
"251","Session 27 - 1972.json.65",0,0
"252","Session 27 - 1972.json.66",1,0
"253","Session 27 - 1972.json.67",8,0
"254","Session 27 - 1972.json.68",1,0
"255","Session 27 - 1972.json.69",0,0
"256","Session 27 - 1972.json.70",6,0
"257","Session 27 - 1972.json.71",0,0
"258","Session 27 - 1972.json.72",0,9
"259","Session 27 - 1972.json.73",4,1
"260","Session 27 - 1972.json.74",0,1
"261","Session 27 - 1972.json.75",0,1
"262","Session 27 - 1972.json.76",1,1
"263","Session 27 - 1972.json.77",3,7
"264","Session 27 - 1972.json.78",4,0
"265","Session 27 - 1972.json.79",3,1
"266","Session 27 - 1972.json.80",5,6
"267","Session 27 - 1972.json.81",0,0
"268","Session 27 - 1972.json.82",2,2
"269","Session 27 - 1972.json.83",0,0
"270","Session 27 - 1972.json.84",2,0
